Country,Stadium,City,Capacity,Opened
Albania,Air Albania Stadium,Tirana,22500,2019
Austria,Allianz Stadion,Vienna,28345,2016
Austria,Red Bull Arena Salzburg (rebuilt),Salzburg,29520,2007
Azerbaijan,Baku Olympic Stadium,Baku,68700,2015
Belarus,Nacyjanalny Futbolny Stadion,Minsk,33145,2025
Belgium,Ghelamco Arena (KAA Gent),Ghent,20000,2013
Belgium,Lotto Park (rebuilt),Anderlecht,21500,2013
Cyprus,GSP Stadium (rebuilt),Nicosia,23700,2008
Czech Republic,Generali Česká pojišťovna Arena (rebuilt),Prague,20854,2023
Denmark,Brøndby Stadion (rebuilt),Brøndby,29000,2007
Denmark,Ceres Park,Aarhus,20203,2019
England,Amex Stadium,Brighton,31876,2011
England,Emirates Stadium,London,60704,2006
England,Hill Dickinson Stadium,Liverpool,52769,2025
England,London Stadium,London,62500,2012
England,Stadium MK,Milton Keynes,30700,2007
England,Tottenham Hotspur Stadium,London,62850,2019
England,Wembley Stadium,London,90000,2007
France,Nouveau Stade de Bordeaux (Matmut Atlantique),Bordeaux,42115,2015
France,Paris La Défense Arena,Nanterre,30000,2017
France,Stade Pierre-Mauroy (Decathlon Arena),Lille,50186,2012
France,Stade de Nice (Allianz Riviera),Nice,35624,2013
France,Stade des Lumières (Groupama Stadium),Lyon,59186,2016
Georgia,Boris Paichadze Dinamo Arena (rebuilt),Tbilisi,54549,2006
Germany,Allianz Arena,Munich,75000,2005
Germany,Deutsche Bank Park,Frankfurt,58000,2005
Germany,Europa-Park Stadion,Freiburg,34700,2021
Germany,MEWA Arena,Mainz,34034,2011
Germany,MHPArena,Stuttgart,60449,2011
Germany,Merkur Spiel-Arena,Düsseldorf,54600,2005
Germany,PreZero Arena,Sinsheim,30150,2009
Germany,RB Arena (Red Bull Arena),Leipzig,47069,2004
Greece,OPAP Arena,Athens,32500,2022
Hungary,Groupama Aréna,Budapest,22000,2014
Hungary,Hidegkuti Nándor Stadion (rebuilt),Budapest,20000,2016
Hungary,MOL Aréna Sasad,Budapest,20000,2016
Hungary,Puskás Aréna,Budapest,67889,2019
Ireland,Aviva Stadium,Dublin,51700,2010
Israel,Bloomfield Stadium (rebuilt),Tel Aviv,29400,2019
Israel,Sammy Ofer Stadium,Haifa,30858,2014
Italy,Juventus Stadium (Allianz Stadium),Turin,41507,2011
Italy,Stadio Friuli (Dacia Arena),Udine,25144,2016
Kazakhstan,Astana Arena,Astana,30254,2009
Netherlands,Grolsch Veste (rebuilt),Enschede,30205,2017
North Macedonia,Todor Proeski National Arena,Skopje,33460,2008
Norway,Lerkendal Stadion (rebuilt),Trondheim,21850,2015
Poland,PGE Narodowy (National Stadium),Warsaw,58145,2012
Poland,Stadion Energa Gdańsk,Gdańsk,43615,2011
Poland,Stadion Miejski Poznań,Poznań,43269,2010
Poland,Stadion Wrocław,Wrocław,42771,2011
Poland,Tauron Arena (multipurpose),Kraków,22000,2014
Portugal,Estádio Municipal de Braga,Braga,30286,2003
Romania,Arena Națională,Bucharest,55634,2011
Romania,Cluj Arena,Cluj-Napoca,30000,2011
Romania,Ion Oblemenco Stadium,Craiova,30000,2017
Romania,Stadionul Steaua (rebuilt),Bucharest,31254,2024
Russia,Ekaterinburg Arena (rebuilt),Yekaterinburg,35696,2018
Russia,Fisht Stadium,Sochi,47659,2013
Russia,Gazprom Arena,Saint Petersburg,68134,2017
Russia,Kaliningrad Stadium,Kaliningrad,35212,2018
Russia,Kazan Arena,Kazan,45379,2013
Russia,Luzhniki Stadium (rebuilt),Moscow,81000,2017
Russia,Mordovia Arena,Saransk,44442,2018
Russia,Nizhny Novgorod Stadium,Nizhny Novgorod,44899,2018
Russia,Otkrytie Arena (Spartak Stadium),Moscow,45360,2014
Russia,Rostov Arena,Rostov-on-Don,45145,2018
Russia,Samara Arena,Samara,44807,2018
Russia,VTB Arena,Moscow,26800,2019
Russia,Volgograd Arena,Volgograd,45568,2018
Scotland,BT Murrayfield (rugby/football),Edinburgh,67144,2008
Scotland,Hampden Park (rebuilt),Glasgow,51866,2015
Slovakia,Národný futbalový štadión,Bratislava,22500,2019
Spain,Estadio de La Cartuja (rebuilt),Seville,57619,2021
Spain,Estadio de Los Cármenes (rebuilt),Granada,22500,2016
Spain,Estadio de la Cerámica (rebuilt),Villarreal,23500,2018
Spain,RCD Espanyol Stadium (RCDE Stadium),Cornellà de Llobregat,40000,2009
Spain,Reale Arena (rebuilt),San Sebastián,39500,2007
Spain,Wanda Metropolitano,Madrid,68456,2017
Sweden,Eleda Stadion,Malmö,27500,2021
Sweden,Friends Arena,Stockholm,65000,2012
Sweden,Swedbank Stadion (rebuilt),Malmö,22500,2009
Switzerland,Letzigrund (rebuilt),Zürich,26104,2007
Switzerland,Wankdorf Stadion (rebuilt),Bern,31783,2005
Turkey,Corendon Airlines Park,Antalya,33000,2015
Turkey,Diyarbakır Stadyumu,Diyarbakır,33000,2018
Turkey,Eryaman Stadyumu,Ankara,22000,2018
Turkey,Gürsel Aksel Stadyumu,İzmir,20756,2021
Turkey,Kalyon Stadyumu,Gaziantep,33502,2019
Turkey,Kocaeli Stadyumu,İzmit,34829,2018
Turkey,Matlı Stadyumu (Timsah Arena),Bursa,43331,2015
Turkey,Medaş Konya Stadyumu,Konya,42000,2014
Turkey,Mersin Arena,Mersin,25534,2013
Turkey,Papara Park,Trabzon,40980,2016
Turkey,RAMS Park (Galatasaray),Istanbul,52280,2011
Turkey,RHG Enertürk Enerji Stadyumu,Kayseri,32880,2009
Turkey,Samsun 19 Mayıs Stadyumu,Samsun,33919,2016
Turkey,Tüpraş Stadyumu (Beşiktaş Park),Istanbul,42590,2016
Turkey,Yeni Adana Stadyumu,Adana,33000,2021
Turkey,Yeni Eskişehir Stadyumu,Eskişehir,34930,2013
Turkey,Yeni Hatay Stadyumu,Antakya,25000,2021
Turkey,Yeni Malatya Stadyumu,Malatya,27044,2017
Turkey,Yeni Ordu Stadyumu,Ordu,20000,2014
Turkey,Yeni Sakarya Stadyumu,Sakarya,28154,2016
Turkey,Yeni Sivas 4 Eylül Stadyumu,Sivas,27532,2016
Turkey,Çotanak Spor Kompleksi,Giresun,21500,2014
Turkey,İzmir Atatürk Stadyumu,İzmir,51295,2020
Ukraine,Arena Lviv,Lviv,34915,2011
Ukraine,Dnipro Arena,Dnipro,31003,2008
Ukraine,Donbass Arena,Donetsk,51504,2009
Ukraine,Metalist Stadium (rebuilt),Kharkiv,38633,2011
Ukraine,NSC Olimpiyskiy (rebuilt),Kyiv,70050,2011
Wales,Cardiff City Stadium,Cardiff,33316,2009
